time,Year,Month,pr
2029-06-30,2029,6,156.41336593192102
2029-07-31,2029,7,202.74110589569491
2029-08-31,2029,8,164.63400839385943
2029-09-30,2029,9,235.75588737529614
2029-10-31,2029,10,294.93995737356954
2029-11-30,2029,11,170.3635564284204
2029-12-31,2029,12,178.4308992490309
2030-01-31,2030,1,76.670230842144
2030-02-28,2030,2,206.78965826977512
2030-03-31,2030,3,210.8848781457019
2030-04-30,2030,4,315.6868438940073
2030-05-31,2030,5,230.72952482987932
2030-06-30,2030,6,162.5196511693965
2030-07-31,2030,7,75.47327687822033
2030-08-31,2030,8,94.91959160374904
2030-09-30,2030,9,277.63711158294797
2030-10-31,2030,10,361.12851676568596
2030-11-30,2030,11,165.62463263040596
2030-12-31,2030,12,160.36067825130868
2031-01-31,2031,1,110.96001404714377
2031-02-28,2031,2,111.17275741343092
2031-03-31,2031,3,116.56371384398805
2031-04-30,2031,4,189.28321384628015
2031-05-31,2031,5,238.2267479410174
2031-06-30,2031,6,84.5676754300049
2031-07-31,2031,7,127.98290383961566
2031-08-31,2031,8,145.67423173194584
2031-09-30,2031,9,211.78399969648754
2031-10-31,2031,10,294.08215800184195
2031-11-30,2031,11,225.78792947726288
2031-12-31,2031,12,121.66091791103896
2032-01-31,2032,1,160.35562311751823
2032-02-29,2032,2,87.59710976981698
2032-03-31,2032,3,240.3575959709898
2032-04-30,2032,4,257.7934136540848
2032-05-31,2032,5,226.46019630249359
2032-06-30,2032,6,156.38752367207243
2032-07-31,2032,7,117.23496653596199
2032-08-31,2032,8,294.06858039228223
2032-09-30,2032,9,353.07174504891543
2032-10-31,2032,10,345.64186345473075
2032-11-30,2032,11,251.38329530421305
2032-12-31,2032,12,187.70200193009617
2033-01-31,2033,1,129.29137932651156
2033-02-28,2033,2,132.7015065919473
2033-03-31,2033,3,257.10134079500904
2033-04-30,2033,4,228.51003566174106
2033-05-31,2033,5,219.64019530127953
2033-06-30,2033,6,156.16979892072897
2033-07-31,2033,7,87.47808550311188
2033-08-31,2033,8,147.84669531457956
2033-09-30,2033,9,231.11753892010162
2033-10-31,2033,10,338.3232635547889
2033-11-30,2033,11,308.57086695983946
2033-12-31,2033,12,116.12703216141121
2034-01-31,2034,1,85.67464709711304
2034-02-28,2034,2,129.83160415587523
2034-03-31,2034,3,236.23656362862647
2034-04-30,2034,4,201.47760384706064
2034-05-31,2034,5,228.85726828092504
2034-06-30,2034,6,153.9611087405602
2034-07-31,2034,7,100.12428728527051
2034-08-31,2034,8,134.27289703094667
2034-09-30,2034,9,217.7186562174042
2034-10-31,2034,10,308.41912258444364
2034-11-30,2034,11,185.92289103260885
2034-12-31,2034,12,162.41295335872277
2035-01-31,2035,1,89.75973516137023
2035-02-28,2035,2,158.27983745431024
2035-03-31,2035,3,258.69987227939987
2035-04-30,2035,4,239.52437310270602
2035-05-31,2035,5,241.6243764551053
2035-06-30,2035,6,85.57336223149278
2035-07-31,2035,7,82.58568506293656
2035-08-31,2035,8,175.32020112777653
2035-09-30,2035,9,250.43045947816458
2035-10-31,2035,10,239.74424214222176
2035-11-30,2035,11,247.84696060190788
2035-12-31,2035,12,154.48216714339563
2036-01-31,2036,1,75.21619760153085
2036-02-29,2036,2,160.20618391072384
2036-03-31,2036,3,180.25741757250242
2036-04-30,2036,4,212.03806931036675
2036-05-31,2036,5,213.4086890289876
2036-06-30,2036,6,205.9896739172129
2036-07-31,2036,7,142.80454119070868
2036-08-31,2036,8,363.7325088784828
2036-09-30,2036,9,381.0169239946423
2036-10-31,2036,10,298.21131737399605
2036-11-30,2036,11,282.38988251626085
2036-12-31,2036,12,142.29371964024537
2037-01-31,2037,1,152.0590872259787
2037-02-28,2037,2,130.0411807928753
2037-03-31,2037,3,211.97284920382606
2037-04-30,2037,4,286.23447612087654
2037-05-31,2037,5,208.58142068663878
2037-06-30,2037,6,119.75647183578276
2037-07-31,2037,7,128.27072698296323
2037-08-31,2037,8,105.2448427974305
2037-09-30,2037,9,284.9350494177051
2037-10-31,2037,10,294.33861525151025
2037-11-30,2037,11,271.1011194862564
2037-12-31,2037,12,112.58767236512941
2038-01-31,2038,1,127.39997014638853
2038-02-28,2038,2,192.71933866849557
2038-03-31,2038,3,133.54387450412574
2038-04-30,2038,4,333.5367425019851
2038-05-31,2038,5,230.82561367193338
2038-06-30,2038,6,126.57226062704638
2038-07-31,2038,7,85.87695007533904
2038-08-31,2038,8,170.7514092317124
2038-09-30,2038,9,273.95420728485885
2038-10-31,2038,10,299.0021945157646
2038-11-30,2038,11,212.54459126024372
2038-12-31,2038,12,80.30302901635658
2039-01-31,2039,1,19.085103086541892
2039-02-28,2039,2,167.23607852115268
2039-03-31,2039,3,189.32171971048507
2039-04-30,2039,4,279.28309348600493
2039-05-31,2039,5,272.67060796544047
2039-06-30,2039,6,119.31457610036307
2039-07-31,2039,7,85.77492044454787
2039-08-31,2039,8,249.68807240248384
2039-09-30,2039,9,354.72746708467633
2039-10-31,2039,10,289.8717174666324
2039-11-30,2039,11,268.24687227008974
2039-12-31,2039,12,195.27715037844308
2040-01-31,2040,1,128.7307452164329
2040-02-29,2040,2,157.1693749766839
2040-03-31,2040,3,207.50931229569372
2040-04-30,2040,4,284.2257712442578
2040-05-31,2040,5,210.13600506618667
2040-06-30,2040,6,158.5414839558742
2040-07-31,2040,7,132.99964330007788
2040-08-31,2040,8,272.91267986705014
2040-09-30,2040,9,248.755131134944
2040-10-31,2040,10,288.8642659115599
2040-11-30,2040,11,160.71484076975688
2040-12-31,2040,12,160.89331126704073
2041-01-31,2041,1,96.74687333365033
2041-02-28,2041,2,201.3582450674641
2041-03-31,2041,3,181.66223270291707
2041-04-30,2041,4,215.5771294233336
2041-05-31,2041,5,153.38547302468666
2041-06-30,2041,6,113.47662317255806
2041-07-31,2041,7,99.25551498105821
2041-08-31,2041,8,156.99170271042416
2041-09-30,2041,9,178.59373296823762
2041-10-31,2041,10,335.6045232541246
2041-11-30,2041,11,225.7149656166085
2041-12-31,2041,12,164.49750169418064
2042-01-31,2042,1,113.30062983361593
2042-02-28,2042,2,135.76387804008615
2042-03-31,2042,3,211.51262971537474
2042-04-30,2042,4,278.4673450842427
2042-05-31,2042,5,254.48101119001217
2042-06-30,2042,6,79.16109778650764
