time,Year,Month,Day,pr
1986-05-01,1986,5,1,1.6854554
1986-05-02,1986,5,2,0.37238002
1986-05-03,1986,5,3,1.064837
1986-05-04,1986,5,4,3.566876
1986-05-05,1986,5,5,8.989021
1986-05-06,1986,5,6,7.094532
1986-05-07,1986,5,7,3.0311942
1986-05-08,1986,5,8,3.4100862
1986-05-09,1986,5,9,4.409581
1986-05-10,1986,5,10,1.398012
1986-05-11,1986,5,11,0.5618185
1986-05-12,1986,5,12,9.374439
1986-05-13,1986,5,13,8.041769
1986-05-14,1986,5,14,1.358822
1986-05-15,1986,5,15,2.8678775
1986-05-16,1986,5,16,1.0779053
1986-05-17,1986,5,17,0.6990135
1986-05-18,1986,5,18,0.7316768
1986-05-19,1986,5,19,7.473424
1986-05-20,1986,5,20,11.765421
1986-05-21,1986,5,21,1.8683672
1986-05-22,1986,5,22,1.3849437
1986-05-23,1986,5,23,4.7492833
1986-05-24,1986,5,24,1.0583103
1986-05-25,1986,5,25,2.6457608
1986-05-26,1986,5,26,6.800562
1986-05-27,1986,5,27,8.165895
1986-05-28,1986,5,28,8.348807
1986-05-29,1986,5,29,13.555378
1986-05-30,1986,5,30,1.3065487
1986-05-31,1986,5,31,7.0366564
1986-06-01,1986,6,1,10.374636
1986-06-02,1986,6,2,5.76441
1986-06-03,1986,6,3,3.4494698
1986-06-04,1986,6,4,8.066252
1986-06-05,1986,6,5,2.7543306
1986-06-06,1986,6,6,2.7412176
1986-06-07,1986,6,7,0.79351664
1986-06-08,1986,6,8,0.62300265
1986-06-09,1986,6,9,1.2197793
1986-06-10,1986,6,10,0.45250356
1986-06-11,1986,6,11,0.4787296
1986-06-12,1986,6,12,0.68858266
1986-06-13,1986,6,13,0.38036704
1986-06-14,1986,6,14,0.68202615
1986-06-15,1986,6,15,2.4264307
1986-06-16,1986,6,16,0.43281913
1986-06-17,1986,6,17,0.32790005
1986-06-18,1986,6,18,0.4721731
1986-06-19,1986,6,19,1.0230392
1986-06-20,1986,6,20,1.7444044
1986-06-21,1986,6,21,1.8427819
1986-06-22,1986,6,22,0.51152706
1986-06-23,1986,6,23,1.2066662
1986-06-24,1986,6,24,3.0428767
1986-06-25,1986,6,25,0.85909665
1986-06-26,1986,6,26,1.2525618
1986-06-27,1986,6,27,0.4197061
1986-06-28,1986,6,28,1.0755062
1986-06-29,1986,6,29,1.9018054
1986-06-30,1986,6,30,4.65332
1986-07-01,1986,7,1,0.2413243
1986-07-02,1986,7,2,2.6178212
1986-07-03,1986,7,3,1.3062954
1986-07-04,1986,7,4,0.79216063
1986-07-05,1986,7,5,1.4479309
1986-07-06,1986,7,6,0.9023398
1986-07-07,1986,7,7,1.6367882
1986-07-08,1986,7,8,0.3514886
1986-07-09,1986,7,9,0.28328598
1986-07-10,1986,7,10,1.1174232
1986-07-11,1986,7,11,0.9652972
1986-07-12,1986,7,12,0.56134164
1986-07-13,1986,7,13,0.38821995
1986-07-14,1986,7,14,0.8236468
1986-07-15,1986,7,15,0.31477213
1986-07-16,1986,7,16,1.4321953
1986-07-17,1986,7,17,1.9882917
1986-07-18,1986,7,18,2.1351724
1986-07-19,1986,7,19,0.031471252
1986-07-20,1986,7,20,0.32001734
1986-07-21,1986,7,21,0.91283023
1986-07-22,1986,7,22,1.0911971
1986-07-23,1986,7,23,8.105278
1986-07-24,1986,7,24,0.036731362
1986-07-25,1986,7,25,0.07869303
1986-07-26,1986,7,26,0.13116002
1986-07-27,1986,7,27,0.32526255
1986-07-28,1986,7,28,0.13116002
1986-07-29,1986,7,29,0.08918345
1986-07-30,1986,7,30,0.20985305
1986-07-31,1986,7,31,0.14342368
1986-08-01,1986,8,1,0.280872
1986-08-02,1986,8,2,0.1912266
1986-08-03,1986,8,3,0.35259128
1986-08-04,1986,8,4,0.48406422
1986-08-05,1986,8,5,0.10755658
1986-08-06,1986,8,6,0.101581216
1986-08-07,1986,8,7,0.16732514
1986-08-08,1986,8,8,0.3286749
1986-08-09,1986,8,9,0.06572902
1986-08-10,1986,8,10,0.08365512
1986-08-11,1986,8,11,0.1912266
1986-08-12,1986,8,12,0.62151253
1986-08-13,1986,8,13,0.91435015
1986-08-14,1986,8,14,0.2091527
1986-08-15,1986,8,15,1.2908578
1986-08-16,1986,8,16,1.5478283
1986-08-17,1986,8,17,0.6932318
1986-08-18,1986,8,18,5.2650423
1986-08-19,1986,8,19,0.5199164
1986-08-20,1986,8,20,4.3387265
1986-08-21,1986,8,21,1.3804883
1986-08-22,1986,8,22,1.4044046
1986-08-23,1986,8,23,8.026064
1986-08-24,1986,8,24,1.7510206
1986-08-25,1986,8,25,2.1514297
1986-08-26,1986,8,26,1.4880747
1986-08-27,1986,8,27,0.7350594
1986-08-28,1986,8,28,0.20317733
1986-08-29,1986,8,29,0.39441884
1986-08-30,1986,8,30,1.0398477
1986-08-31,1986,8,31,0.8446127
1986-09-01,1986,9,1,5.2013693
1986-09-02,1986,9,2,5.63775
1986-09-03,1986,9,3,2.1889508
1986-09-04,1986,9,4,1.3513714
1986-09-05,1986,9,5,0.042244792
1986-09-06,1986,9,6,0.05631149
1986-09-07,1986,9,7,0.2604276
1986-09-08,1986,9,8,0.739038
1986-09-09,1986,9,9,0.04927814
1986-09-10,1986,9,10,0.38008392
1986-09-11,1986,9,11,0.35896897
1986-09-12,1986,9,12,0.92203915
1986-09-13,1986,9,13,1.0346472
1986-09-14,1986,9,14,0.22523105
