time,Year,Month,pr
2028-06-30,2028,6,139.6772649139166
2028-07-31,2028,7,109.9605331197381
2028-08-31,2028,8,118.97744257003069
2028-09-30,2028,9,107.12750181555748
2028-10-31,2028,10,371.47963363677263
2028-11-30,2028,11,268.78108587116003
2028-12-31,2028,12,97.47256524860859
2029-01-31,2029,1,183.65299701690674
2029-02-28,2029,2,67.39494977518929
2029-03-31,2029,3,163.1609285250306
2029-04-30,2029,4,143.6103506013751
2029-05-31,2029,5,153.80547232925892
2029-06-30,2029,6,94.35570426285267
2029-07-31,2029,7,147.49168390408158
2029-08-31,2029,8,82.90760451927781
2029-09-30,2029,9,203.66865992546082
2029-10-31,2029,10,278.5336783155799
2029-11-30,2029,11,128.57487089931965
2029-12-31,2029,12,173.8849651068449
2030-01-31,2030,1,85.04983792081501
2030-02-28,2030,2,209.96905323117983
2030-03-31,2030,3,203.6405922845006
2030-04-30,2030,4,356.6581992432475
2030-05-31,2030,5,268.09434397146106
2030-06-30,2030,6,125.7663818076253
2030-07-31,2030,7,81.38153152540326
2030-08-31,2030,8,54.73990626633167
2030-09-30,2030,9,175.8951986208558
2030-10-31,2030,10,389.15931545197964
2030-11-30,2030,11,103.81741868332028
2030-12-31,2030,12,147.53710459917784
2031-01-31,2031,1,101.02648381143808
2031-02-28,2031,2,88.77738509327173
2031-03-31,2031,3,61.000622157007456
2031-04-30,2031,4,193.25714427977812
2031-05-31,2031,5,255.82050941884518
2031-06-30,2031,6,73.37943250313401
2031-07-31,2031,7,83.63301549106836
2031-08-31,2031,8,70.52288744598627
2031-09-30,2031,9,118.90577478334308
2031-10-31,2031,10,256.33873231709003
2031-11-30,2031,11,244.98859774321318
2031-12-31,2031,12,114.81236759573221
2032-01-31,2032,1,146.2332266382873
2032-02-29,2032,2,48.138986527920025
2032-03-31,2032,3,209.5628947019577
2032-04-30,2032,4,237.26843744516373
2032-05-31,2032,5,154.10638097673655
2032-06-30,2032,6,129.7180099412799
2032-07-31,2032,7,71.10687140375376
2032-08-31,2032,8,228.4539107233286
2032-09-30,2032,9,279.03311736881733
2032-10-31,2032,10,334.8916908726096
2032-11-30,2032,11,372.73885533213615
2032-12-31,2032,12,223.98919444531202
2033-01-31,2033,1,114.36201799660921
2033-02-28,2033,2,94.95329959318042
2033-03-31,2033,3,239.11127094179406
2033-04-30,2033,4,191.85249991714954
2033-05-31,2033,5,195.20979411900043
2033-06-30,2033,6,104.74082194268703
2033-07-31,2033,7,95.05079202353954
2033-08-31,2033,8,97.07108130678535
2033-09-30,2033,9,187.62579783797264
2033-10-31,2033,10,322.4179856479168
2033-11-30,2033,11,224.51693499460816
2033-12-31,2033,12,105.10479854419827
2034-01-31,2034,1,51.608133874833584
2034-02-28,2034,2,150.01694429665815
2034-03-31,2034,3,230.3076272830367
2034-04-30,2034,4,183.98606702685356
2034-05-31,2034,5,154.83115073293447
2034-06-30,2034,6,90.68393781781197
2034-07-31,2034,7,136.17005199193954
2034-08-31,2034,8,81.56291507184505
2034-09-30,2034,9,113.91996396705508
2034-10-31,2034,10,313.12944469973445
2034-11-30,2034,11,217.4326317384839
2034-12-31,2034,12,135.73688194155693
2035-01-31,2035,1,41.84489976614714
2035-02-28,2035,2,136.48750903084874
2035-03-31,2035,3,192.17484779655933
2035-04-30,2035,4,207.62882754206657
2035-05-31,2035,5,213.9002127572894
2035-06-30,2035,6,82.53208603709936
2035-07-31,2035,7,130.09159471839666
2035-08-31,2035,8,104.70572356134653
2035-09-30,2035,9,157.02252890914679
2035-10-31,2035,10,347.655482031405
2035-11-30,2035,11,285.6384476646781
2035-12-31,2035,12,158.91068503260612
2036-01-31,2036,1,60.100010968744876
2036-02-29,2036,2,144.0003982745111
2036-03-31,2036,3,153.13929710537195
2036-04-30,2036,4,165.97303859889507
2036-05-31,2036,5,159.8288755863905
2036-06-30,2036,6,171.75153773277998
2036-07-31,2036,7,96.22188303619623
2036-08-31,2036,8,307.375580817461
2036-09-30,2036,9,327.2255938500166
2036-10-31,2036,10,221.29648625850677
2036-11-30,2036,11,240.48763643950224
2036-12-31,2036,12,107.37518202513456
2037-01-31,2037,1,134.2474965378642
2037-02-28,2037,2,83.84236358106159
2037-03-31,2037,3,164.5571742206812
2037-04-30,2037,4,230.6958770379424
2037-05-31,2037,5,154.5773877762258
2037-06-30,2037,6,105.14472238719463
2037-07-31,2037,7,94.31366063654423
2037-08-31,2037,8,81.0321444645524
2037-09-30,2037,9,216.9943219050765
2037-10-31,2037,10,303.96809577941895
2037-11-30,2037,11,225.21155253052711
2037-12-31,2037,12,81.7282984033227
2038-01-31,2038,1,78.50811369717134
2038-02-28,2038,2,207.3765305802226
2038-03-31,2038,3,117.17842295765877
2038-04-30,2038,4,365.410022623837
2038-05-31,2038,5,180.16255628317595
2038-06-30,2038,6,94.10708863288164
2038-07-31,2038,7,111.47874053567648
2038-08-31,2038,8,110.47746855765581
2038-09-30,2038,9,178.5117907449603
2038-10-31,2038,10,259.29457526654005
2038-11-30,2038,11,188.50416261702776
2038-12-31,2038,12,39.44255914539099
2039-01-31,2039,1,4.7095952555548335
2039-02-28,2039,2,138.63167613744758
2039-03-31,2039,3,204.06499151140451
2039-04-30,2039,4,212.75682980194688
2039-05-31,2039,5,188.00437655299902
2039-06-30,2039,6,102.40672677755356
2039-07-31,2039,7,69.77247912436724
2039-08-31,2039,8,172.96769488602877
2039-09-30,2039,9,238.06782960891724
2039-10-31,2039,10,250.4311602562666
