"","V1"
"678",10.2725233275814
"679",9.87348157264105
"680",4.38012830905654
"681",7.16339460519939
"682",9.33098427226228
"683",3.30550867593269
"684",12.3600475247769
"685",4.29315382510314
"686",4.99199472810437
"687",5.4057271113467
"688",11.1692430652843
"689",5.89154635818716
"690",8.91809119659821
"691",12.1583125111289
"692",2.5897992581147
"693",1.43647608472054
"694",0
"695",1.50929484720815
"696",0
"697",0
"698",2.49221647394198
"699",0
"700",1.66269523897424
"701",0
"702",0
"703",0
"704",0
"705",0
"706",0
"707",0
"708",0
"709",0
"710",0
"711",0
"712",0
"713",0
"714",0
"715",0
"716",0
"717",0
"718",0
"719",3.10779550474435
"720",3.94237871819886
"721",4.67336795939775
"722",0
"723",0
"724",0
"725",0
"726",0
"727",0
"728",0
"729",2.17719158831533
"730",0
"731",3.0115405638411
"732",2.85127224641236
"733",4.50638430394648
"734",5.80925857725958
"735",8.61577328184691
"736",3.41480012955981
"737",2.93443554370697
"738",3.49879112088001
"739",0
"740",0
"741",6.55377210449791
"742",11.3309333240051
"743",2.7121387413643
"744",0
"745",0
"746",0
"747",0
"748",0
"749",0
"750",0
"751",0
"752",0
"753",0
"754",0
"755",6.18925459110542
"756",4.50687503382643
"757",0
"758",3.42276827098354
"759",4.4877071339068
"760",0
"761",0
"762",0
"763",0
"764",0
"765",3.7871704094857
"766",15.0394367955147
"767",13.0466024724734
"768",8.58942977777071
"769",8.29053510679174
"770",17.1040269329325
"771",19.5603065003427
"772",8.93605616081616
"773",5.49188942415112
"774",5.02031499241479
"775",9.33736455016868
"776",10.9804499120343
"777",15.7396413776074
"778",13.6406691082045
"779",1.88034546093277
"780",0
"781",0
"782",0
"783",0
"784",3.13453093968729
"785",5.98127238955207
"786",0
"787",0
"788",0
"789",4.48371426060853
"790",5.40205984519915
"791",6.77970703492417
"792",8.53392109967771
"793",8.23950952463355
"794",9.1785453370543
"795",0
"796",0
"797",0
"798",7.40870977034951
"799",8.77016798392672
"800",22.8035103262428
"801",0
"802",3.02050253519591
"803",5.46426950744454
"804",2.49346212130598
"805",0
"806",1.91737218274357
"807",8.15502701080579
"808",12.5185810700643
"809",4.97675009478584
"810",4.62929201894488
"811",2.28367426510475
"812",6.91099935423899
"813",3.36922769170945
"814",2.47738823058297
"815",0
"816",0
"817",0
"818",0
"819",0
"820",0
"821",3.14260407335444
"822",1.39698606355383
"823",0
"824",1.23571403636034
"825",8.99292590360917
"826",9.63175134853474
"827",1.34270343290349
"828",4.8398518121114
"829",2.27712253668434
"830",7.24692448331442
"831",5.66396264156085
"832",1.25490505463462
"833",8.91187639593157
"834",6.24306587157573
"835",1.38642352376476
"836",0
"837",2.47859631525784
"838",8.44373206427642
"839",2.69701999419928
"840",9.76756991452119
"841",12.6342848653961
"842",23.3252974718212
"843",0
"844",2.24387749085331
"845",1.89295598141196
"846",3.05023276196532
"847",11.1777608729749
"848",7.05140218335025
"849",1.85846319620017
"850",1.67492612369362
"851",7.53667351128163
"852",0
"853",9.1403226738936
"854",12.3716777604688
"855",11.0275703638311
"856",5.73289012764791
"857",12.0002859923067
"858",7.85098407002385
"859",4.58776787722642
"860",15.1801810956072
"861",4.75567375466001
"862",4.98136461525377
"863",3.81491711566794
"864",1.32963621106779
"865",2.48635219768525
"866",9.38631670171528
"867",3.47174471680925
"868",2.66168399392289
"869",2.65843771767912
"870",1.7128968377121
"871",0
"872",3.55862359389404
"873",6.11498922131285
"874",4.5552665089223
"875",1.61297451288159
"876",1.2593857097771
"877",0
"878",0
"879",2.43598913750966
"880",11.6489235068685
"881",3.00902029191456
"882",2.21914215146878
"883",2.29351478767496
"884",0
"885",2.33937813232618
"886",3.50368241385254
"887",0
"888",1.18772108749731
"889",1.34019098598822
"890",0
"891",1.03453889157115
"892",1.12609996996441
"893",5.54043586187479
"894",1.24116117960415
"895",1.95735472759678
"896",0
"897",0
"898",0
"899",0
"900",0
"901",0
"902",0
"903",0
"904",0
"905",0
"906",1.09027665270958
"907",1.28820132808469
"908",1.19345462945221
"909",4.67009297133944
"910",2.32776149262684
"911",1.1486835325865
"912",2.16709579135484
"913",0
"914",0
"915",0
"916",3.41831561660549
"917",1.17925396474348
"918",8.82975121804518
"919",4.84459639253388
"920",0
"921",0
"922",0
"923",1.27518439385192
"924",1.45889762212835
"925",0
"926",1.57025046783676
"927",1.33626395047273
"928",0
"929",0
"930",2.64591488261667
"931",4.32067583432293
"932",3.52254291289657
"933",1.03414787980161
"934",3.46291670533284
"935",0
"936",2.13194327207159
"937",0
"938",0
"939",0
"940",0
"941",2.88241959792988
"942",0
"943",0
"944",0
"945",0
"946",0
"947",0
"948",0
"949",0
"950",0
"951",2.34763889479869
"952",1.19811620968226
"953",1.97470206540298
"954",7.33117111172113
"955",8.70027072380185
"956",0
"957",2.84433721730555
"958",2.15997504666522
"959",0
"960",0
"961",2.71239658868879
"962",0
"963",0
"964",0
"965",0
"966",0
"967",7.48353466559452
"968",10.4478040386366
"969",7.07769974251717
"970",6.63304128186533
"971",2.25937208186846
"972",3.61201778716834
"973",8.40118732138337
"974",4.1205350047932
"975",0
"976",1.58248304739533
"977",0
"978",0
"979",7.36443854505325
"980",6.92942996589077
"981",7.15843327297934
"982",6.70935768948659
"983",4.53854120944309
"984",3.37166018601773
"985",0
"986",1.39037086473422
"987",9.20032578180839
"988",6.77369335290402
"989",0
"990",0
"991",0
"992",1.98258267675841
"993",6.27200800058963
"994",14.979641948991
"995",6.61845537827695
"996",15.3401309994136
"997",4.42622498075708
"998",7.45285114232691
"999",15.2355892811247
"1000",5.42112211313927
"1001",8.1441544885596
"1002",3.8544744965521
"1003",18.0084120823835
"1004",7.25005953055618
"1005",13.1563709599362
"1006",0
"1007",3.91823844796532
"1008",0
"1009",13.743804743486
"1010",2.1841566193177
"1011",14.3291843343946
"1012",1.61763394589584
"1013",1.01838523547949
"1014",0
"1015",0
"1016",0
"1017",0
"1018",0
"1019",0
"1020",0
"1021",0
"1022",0
"1023",4.26941308493032
"1024",7.58978267108565
"1025",1.89696114236064
"1026",1.30690784038488
"1027",0
"1028",9.71577487314193
"1029",12.8924942455999
"1030",12.2209054596922
"1031",4.64602269489065
"1032",3.4877505315724
"1033",4.12367141190688
"1034",3.58866083360592
"1035",3.02277459778956
"1036",5.82261176658586
"1037",4.67174980111788
"1038",6.96216184798653
"1039",0
"1040",2.02928134994797
"1041",1.72617557477232
"1042",4.2490889550073
"1043",7.16391628522618
"1044",3.73472672884976
"1045",20.5694213187499
"1046",9.52683717351528
"1047",4.51884107676249
"1048",3.16635422807731
"1049",5.94826269665708
"1050",10.170157822063
"1051",2.46921531465864
"1052",8.1339976805003
"1053",15.4461011104159
"1054",20.3663480973834
"1055",9.53722420401608
"1056",13.6405616328265
"1057",15.4821019223623
"1058",6.24621490753282
"1059",4.55625073001592
"1060",4.44904862680554
"1061",2.34633297241415
"1062",8.02140456373186
"1063",3.876008749488
"1064",7.60482032177203
"1065",1.87708170622575
"1066",0
"1067",0
"1068",0
"1069",0
"1070",4.40690267127915
"1071",12.7541285538831
"1072",4.73484966555492
"1073",16.9142050487329
"1074",3.15954568689137
"1075",0
"1076",0
"1077",0
"1078",0
"1079",0
"1080",0
"1081",0
"1082",0
"1083",0
"1084",9.80487451822638
"1085",5.46964725707808
"1086",0
"1087",0
"1088",0
"1089",0
"1090",0
"1091",0
"1092",7.29035981310862
"1093",12.535837044381
"1094",25.8807770011741
"1095",16.5839295746301
"1096",10.9884725832998
"1097",9.66793375604692
"1098",3.49463814813803
"1099",12.9207902991187
"1100",3.73357779382696
"1101",0
"1102",0
"1103",0
"1104",0
"1105",0
"1106",0
"1107",0
"1108",0
"1109",0
"1110",0
"1111",0
"1112",0
"1113",0
"1114",0
"1115",0
"1116",0
"1117",5.65588407631768
"1118",3.88904836452561
"1119",0
"1120",2.73586335926871
"1121",0
"1122",0
"1123",0
"1124",0
"1125",0
"1126",0
"1127",0
"1128",2.02275998768786
"1129",2.87775910760047
"1130",6.00418077335073
"1131",1.9877874534967
"1132",2.79703184735324
"1133",3.29818209374439
"1134",0
"1135",0
"1136",8.44694690293124
"1137",4.25156722143074
"1138",2.10065283512151
"1139",2.05294874555675
"1140",2.38994973667452
"1141",0
"1142",1.90488242028648
"1143",0
"1144",8.61313589709918
"1145",9.87653432434805
"1146",4.73367509053398
"1147",2.38795891715694
"1148",3.68504884988712
"1149",0
"1150",0
"1151",3.42644448210879
"1152",3.59311077005135
"1153",5.40351864956011
"1154",4.58281562624027
"1155",3.39119414406913
"1156",17.9084352929771
"1157",11.8906999566405
"1158",3.40652140737852
"1159",6.88261439729689
"1160",8.28915670538152
"1161",7.71822309581353
"1162",0
"1163",0
"1164",5.48134016773103
"1165",11.946283230151
"1166",7.38174059741816
"1167",9.51613468778887
"1168",5.70619000865748
"1169",7.1670214656778
"1170",0
"1171",0
"1172",0
"1173",0
"1174",3.28402569076179
"1175",0
"1176",0
"1177",1.42836964841232
"1178",9.99608005901541
"1179",0
"1180",0
"1181",0
"1182",0
"1183",2.32800755125251
"1184",8.80059961125447
"1185",4.27100570041898
"1186",0
"1187",5.2514846843351
"1188",0
"1189",11.8141034370286
"1190",21.2389571041409
"1191",11.9883426466847
"1192",12.9395641916417
"1193",9.74701460246817
"1194",13.5725796996139
"1195",4.45271646252943
"1196",5.72825558923466
"1197",12.2816757874696
"1198",3.86227970663689
"1199",5.624365440135
"1200",0
"1201",0
"1202",11.590270928293
"1203",12.8322028010188
"1204",13.5616822379984
"1205",10.5968744204916
"1206",3.69079196529716
"1207",4.31100979014868
"1208",3.52736469924935
"1209",12.3845912280045
"1210",25.7597938213614
"1211",14.4925852237956
"1212",12.6874227290044
"1213",15.76939076932
"1214",15.8708446654734
"1215",19.2347584665189
"1216",10.3781352837368
"1217",16.5949888220547
"1218",3.9236077355176
"1219",1.37068906834584
"1220",0
"1221",0
"1222",0
"1223",0
"1224",0
"1225",0
"1226",2.41753430935026
"1227",3.22544321133295
"1228",8.97094392073065
"1229",1.48105423011588
"1230",9.89980996753484
"1231",8.24165345038353
"1232",8.16599571455375
"1233",11.894751547492
"1234",1.25216654317298
"1235",8.5448155857453
"1236",7.70915498091478
"1237",11.9771011546617
"1238",8.04802434308953
"1239",2.50250028601929
"1240",3.16763281563292
"1241",1.28954231053304
"1242",1.94187164799571
"1243",2.45362791829424
"1244",2.2494102906338
"1245",2.45415135002782
"1246",12.4512025702119
"1247",13.1532383196216
"1248",0
"1249",7.51046918678461
"1250",9.29956235068154
"1251",2.74502448881691
"1252",7.64597485387933
"1253",9.86220717709234
"1254",1.34266944294923
"1255",0
"1256",7.22240961424932
"1257",4.29259267766523
"1258",2.41618717352264
"1259",0
"1260",0
"1261",0
"1262",0
"1263",0
"1264",1.23798381656505
"1265",0
"1266",0
"1267",0
"1268",1.66669918430758
"1269",1.55083378402525
"1270",1.62800055129688
"1271",1.51212648725925
"1272",0
"1273",1.57250240380209
"1274",8.15688576279189
"1275",14.4154958917894
"1276",1.07051817752713
"1277",1.94976965446092
"1278",0
"1279",0
"1280",0
"1281",0
"1282",0
"1283",1.50226031384692
"1284",0
"1285",0
"1286",1.97985481404087
"1287",4.68946452060245
"1288",1.32002354532375
"1289",0
"1290",0
"1291",0
"1292",1.44155606813699
"1293",0
"1294",0
"1295",4.95880447742659
"1296",3.79549506270136
"1297",1.06715635112511
"1298",0
"1299",2.68618472460507
"1300",2.69501598856484
"1301",1.77017271363392
"1302",0
"1303",2.44848492286713
"1304",2.77184636366478
"1305",1.00599193728981
"1306",8.19032006603768
"1307",0
"1308",1.07330315926988
"1309",1.67984941675923
"1310",2.8079967707766
"1311",1.00241029579646
"1312",0
"1313",1.92563891140822
"1314",3.19148659084276
"1315",1.17714154429871
"1316",2.77893315378747
"1317",2.11259504000338
"1318",5.6183062043387
"1319",8.38693475149313
"1320",9.69614531426855
"1321",10.3574455031222
"1322",4.52846615121463
"1323",6.19614002989308
"1324",10.0928963033445
"1325",6.64841293928349
"1326",1.36761277833452
"1327",1.05983796378286
"1328",6.8667254609802
"1329",5.78205613006935
"1330",2.72385087328736
"1331",8.61180422820753
"1332",10.2509250227803
"1333",2.18184003096729
"1334",2.38346241133636
"1335",6.23144980149284
"1336",2.88087116333773
"1337",4.87901337936938
"1338",4.74094451329885
"1339",1.77382716485446
"1340",12.0566105267568
"1341",10.6497791415005
"1342",0
"1343",4.25807297556168
"1344",2.34170803157313
"1345",5.10898445134957
"1346",1.295006707034
"1347",5.11541847129886
"1348",3.57092783096315
"1349",8.70955352944092
"1350",3.00466924887992
"1351",0
"1352",0
"1353",8.0466594351042
"1354",6.40892512041749
"1355",4.49313025065041
"1356",5.09991446034266
"1357",12.2914133617792
"1358",4.87050094336539
"1359",0
"1360",1.01189887535011
"1361",0
"1362",2.08244712851729
"1363",1.75061752287163
"1364",1.23669140105798
"1365",0
"1366",3.62278202360495
"1367",6.31703027705991
"1368",12.5161251735433
"1369",15.8882192824226
"1370",5.58162229470595
"1371",12.1985012708079
"1372",6.93157731389635
"1373",5.3952024210826
"1374",2.83712386303325
"1375",0
"1376",0
"1377",3.30995136738309
"1378",0
"1379",8.7010347100481
"1380",4.6177002752902
"1381",12.9034007872513
"1382",5.05295559651422
"1383",12.3564019694773
"1384",10.0587789373494
"1385",7.82765862953518
"1386",1.61268317946026
"1387",1.86629658775656
"1388",7.91969093212407
"1389",17.6363693548791
"1390",20.6653882680347
"1391",12.6099214012167
"1392",3.37604756594373
"1393",10.0344479341531
"1394",10.997402573819
"1395",6.02550745560441
"1396",11.9740491503729
"1397",3.47675386320683
"1398",3.34735266017293
"1399",12.2630010716415
"1400",7.58685431932614
"1401",16.2704111044675
"1402",3.79209931631826
"1403",10.7005684707804
"1404",13.6742448446746
"1405",11.1117484042382
"1406",10.1900752854018
"1407",3.37043136913163
"1408",4.00951285561914
"1409",11.414400848194
"1410",1.85215959979123
"1411",6.16625902572662
"1412",4.20277866360485
"1413",11.7585213233455
"1414",10.607754013046
"1415",0
"1416",3.0519043844196
"1417",6.2680364471055
"1418",4.33446027603593
"1419",1.67538218995565
"1420",3.42968479485286
"1421",2.71131223031101
"1422",0
"1423",7.57096138393008
"1424",9.79150867061508
"1425",3.00382615770653
"1426",4.78739031581059
"1427",1.94599742571673
"1428",0
"1429",0
"1430",1.69310069218659
"1431",1.82961790271661
"1432",5.29873441473317
"1433",0
"1434",2.47579533194097
"1435",0
"1436",4.47764159013213
"1437",10.4274988366346
"1438",12.7530851113418
"1439",8.56440200161138
"1440",4.85674174937271
"1441",5.05507589587854
"1442",8.93109394618539
"1443",6.69101103721181
"1444",4.41603319957838
"1445",0
"1446",0
"1447",1.95448065909169
"1448",0
"1449",0
"1450",0
"1451",0
"1452",0
"1453",3.90403588031249
"1454",2.88019927222947
"1455",0
"1456",0
"1457",0
"1458",0
"1459",2.19876161040202
"1460",0
"1461",0
"1462",0
"1463",0
"1464",0
"1465",2.72758474336088
"1466",0
"1467",3.49493345508392
"1468",0
"1469",0
"1470",4.23239684518234
"1471",4.57766437585698
"1472",4.20015225202581
"1473",5.04776319962769
"1474",2.32664264110145
"1475",0
"1476",0
"1477",0
"1478",0
"1479",0
"1480",0
"1481",2.98624063293122
"1482",4.88029506023617
